firstName,lastName,fullName,avgRating,avgDifficulty,wouldTakeAgainPercent,numRatings,profLegacyId,schoolLongId,schoolName
Theresa,Howard,Theresa Howard,5.0,2.0,100.0,3,2395591,U2Nob29sLTQ4MQ==,Kennesaw State University
Tiffani,Tijerina,Tiffani Tijerina,3.5,2.8,71.4286,6,2308765,U2Nob29sLTQ4MQ==,Kennesaw State University
Austin,Brown,Austin Brown,3.8,2.8,66.6667,20,2519248,U2Nob29sLTQ4MQ==,Kennesaw State University
Alain,Bindja,Alain Bindja,0.0,0.0,-1.0,0,2844356,U2Nob29sLTQ4MQ==,Kennesaw State University
Karin,Kolb,Karin Kolb,5.0,1.4,100.0,9,2529307,U2Nob29sLTQ4MQ==,Kennesaw State University
Dhruba,Adhikari,Dhruba Adhikari,4.2,3.1,80.0,34,1800627,U2Nob29sLTQ4MQ==,Kennesaw State University
Marcee,McCarthy,Marcee McCarthy,0.0,0.0,-1.0,0,2844996,U2Nob29sLTQ4MQ==,Kennesaw State University
Karlyn,Mueller-Hill,Karlyn Mueller-Hill,2.0,4.0,100.0,1,2845440,U2Nob29sLTQ4MQ==,Kennesaw State University
Sade,Thomas,Sade Thomas,0.0,0.0,-1.0,0,2846407,U2Nob29sLTQ4MQ==,Kennesaw State University
Erik,Westlund,Erik Westlund,3.5,4.2,60.4651,66,1637922,U2Nob29sLTQ4MQ==,Kennesaw State University
Abebe,Mojo,Abebe Mojo,3.5,3.4,70.0,50,2117769,U2Nob29sLTQ4MQ==,Kennesaw State University
Jake,Grazer,Jake Grazer,0.0,0.0,100.0,0,2847350,U2Nob29sLTQ4MQ==,Kennesaw State University
Mia,Plachkinova,Mia Plachkinova,5.0,4.0,100.0,1,2848239,U2Nob29sLTQ4MQ==,Kennesaw State University
James,Boudreau,James Boudreau,3.9,2.4,79.6296,55,2296327,U2Nob29sLTQ4MQ==,Kennesaw State University
Elizabeth,Hetzel,Elizabeth Hetzel,3.7,3.3,76.9231,12,2185865,U2Nob29sLTQ4MQ==,Kennesaw State University
Susan,Fuller,Susan Fuller,4.7,2.4,100.0,5,2823124,U2Nob29sLTQ4MQ==,Kennesaw State University
Elizabeth,Hornsey,Elizabeth Hornsey,5.0,1.9,100.0,13,2742841,U2Nob29sLTQ4MQ==,Kennesaw State University
Rudy,Bartels,Rudy Bartels,5.0,2.0,100.0,14,2663641,U2Nob29sLTQ4MQ==,Kennesaw State University
Krishna,Regmi,Krishna Regmi,2.1,3.9,30.0,14,2734432,U2Nob29sLTQ4MQ==,Kennesaw State University
Kirstin,Ralston-Coley,Kirstin Ralston-Coley,3.8,2.8,77.7778,27,2038462,U2Nob29sLTQ4MQ==,Kennesaw State University
Terea,Murphy,Terea Murphy,4.0,3.0,100.0,1,2845013,U2Nob29sLTQ4MQ==,Kennesaw State University
Terry,Carter,Terry Carter,3.8,2.6,90.4762,43,182547,U2Nob29sLTQ4MQ==,Kennesaw State University
Nick,Cooper,Nick Cooper,2.5,4.1,71.4286,7,2832114,U2Nob29sLTQ4MQ==,Kennesaw State University
Dana,Woodruff,Dana Woodruff,4.0,1.0,100.0,1,2252803,U2Nob29sLTQ4MQ==,Kennesaw State University
Elizabeth,Krone,Elizabeth Krone,4.6,1.8,87.5,5,2727459,U2Nob29sLTQ4MQ==,Kennesaw State University
Robert,Montgomery,Robert Montgomery,4.9,2.8,100.0,12,1418607,U2Nob29sLTQ4MQ==,Kennesaw State University
Meishan,Chen,Meishan Chen,3.8,4.1,83.3333,4,2565252,U2Nob29sLTQ4MQ==,Kennesaw State University
