firstName,lastName,fullName,avgRating,avgDifficulty,wouldTakeAgainPercent,numRatings,profLegacyId,schoolLongId,schoolName
Jessica,Owen,Jessica Owen,0.0,0.0,-1.0,0,84424,U2Nob29sLTQ4MQ==,Kennesaw State University
Oral,Moses,Oral Moses,3.7,2.5,100.0,22,84425,U2Nob29sLTQ4MQ==,Kennesaw State University
Linda,Stewart,Linda Stewart,4.0,2.5,100.0,51,103228,U2Nob29sLTQ4MQ==,Kennesaw State University
Fred,Hartfield,Fred Hartfield,3.5,1.8,-1.0,20,104203,U2Nob29sLTQ4MQ==,Kennesaw State University
Abdul,Faruque,Abdul Faruque,2.6,2.9,50.0,19,104205,U2Nob29sLTQ4MQ==,Kennesaw State University
Chien-Pin,Li,Chien-Pin Li,4.1,2.6,-1.0,16,106390,U2Nob29sLTQ4MQ==,Kennesaw State University
Tom,Womack,Tom Womack,4.2,2.0,-1.0,59,107707,U2Nob29sLTQ4MQ==,Kennesaw State University
Tom,Pynn,Tom Pynn,3.0,3.8,24.2424,112,108600,U2Nob29sLTQ4MQ==,Kennesaw State University
James,Herbert,James Herbert,2.9,3.4,57.8947,46,125689,U2Nob29sLTQ4MQ==,Kennesaw State University
Harry,Lasher,Harry Lasher,3.0,3.6,-1.0,16,125697,U2Nob29sLTQ4MQ==,Kennesaw State University
Douglas,Clouatre,Douglas Clouatre,4.8,3.0,-1.0,3,125759,U2Nob29sLTQ4MQ==,Kennesaw State University
Dr.,Pearcey,Dr. Pearcey,4.6,3.3,100.0,22,126408,U2Nob29sLTQ4MQ==,Kennesaw State University
L,Tucker,L Tucker,4.2,3.2,-1.0,20,129814,U2Nob29sLTQ4MQ==,Kennesaw State University
Carol,Barnum,Carol Barnum,1.6,3.9,-1.0,11,134245,U2Nob29sLTQ4MQ==,Kennesaw State University
James,Whitenton,James Whitenton,3.2,3.1,-1.0,36,136208,U2Nob29sLTQ4MQ==,Kennesaw State University
Ann,Parker,Ann Parker,4.7,2.1,-1.0,23,136215,U2Nob29sLTQ4MQ==,Kennesaw State University
Phil,Patterson,Phil Patterson,3.6,3.5,100.0,26,136259,U2Nob29sLTQ4MQ==,Kennesaw State University
Nancy,Reichert,Nancy Reichert,4.6,2.2,100.0,35,136294,U2Nob29sLTQ4MQ==,Kennesaw State University
Joanne,Brock,Joanne Brock,2.1,3.5,-1.0,131,136646,U2Nob29sLTQ4MQ==,Kennesaw State University
Anne,Hicks-Coolick,Anne Hicks-Coolick,3.6,1.8,25.0,22,138549,U2Nob29sLTQ4MQ==,Kennesaw State University
Ardith,Peters,Ardith Peters,4.2,2.3,80.0,31,138555,U2Nob29sLTQ4MQ==,Kennesaw State University
Norma,Rigg,Norma Rigg,2.3,3.9,-1.0,29,139160,U2Nob29sLTQ4MQ==,Kennesaw State University
Jeff,Wagner,Jeff Wagner,4.4,2.8,100.0,19,141169,U2Nob29sLTQ4MQ==,Kennesaw State University
Herb,Smith,Herb Smith,3.9,2.8,100.0,18,141205,U2Nob29sLTQ4MQ==,Kennesaw State University
Paula,Yow,Paula Yow,3.8,2.7,-1.0,15,143534,U2Nob29sLTQ4MQ==,Kennesaw State University
Barbara,Stevenson,Barbara Stevenson,3.5,3.0,-1.0,23,143543,U2Nob29sLTQ4MQ==,Kennesaw State University
Laura,Dabundo,Laura Dabundo,4.6,2.1,-1.0,23,143589,U2Nob29sLTQ4MQ==,Kennesaw State University
Elaine,McAllister,Elaine McAllister,3.0,1.0,-1.0,1,151152,U2Nob29sLTQ4MQ==,Kennesaw State University
Paul,Lapides,Paul Lapides,3.2,3.4,-1.0,24,151551,U2Nob29sLTQ4MQ==,Kennesaw State University
Ralph,Wilson,Ralph Wilson,4.1,2.2,77.7778,33,151677,U2Nob29sLTQ4MQ==,Kennesaw State University
Andrea,Galloy,Andrea Galloy,4.3,1.5,-1.0,8,151691,U2Nob29sLTQ4MQ==,Kennesaw State University
Keith,Nikitin,Keith Nikitin,4.6,1.8,92.3077,25,152776,U2Nob29sLTQ4MQ==,Kennesaw State University
Brad,Feldser,Brad Feldser,4.2,2.5,-1.0,54,171118,U2Nob29sLTQ4MQ==,Kennesaw State University
Lynn,Fedeli,Lynn Fedeli,3.7,3.5,-1.0,10,175169,U2Nob29sLTQ4MQ==,Kennesaw State University
June,Laval,June Laval,3.7,3.4,100.0,21,175173,U2Nob29sLTQ4MQ==,Kennesaw State University
Judy,Holzman,Judy Holzman,3.9,2.8,-1.0,8,175174,U2Nob29sLTQ4MQ==,Kennesaw State University
Anita,Vanbrackle,Anita Vanbrackle,5.0,2.0,-1.0,4,175178,U2Nob29sLTQ4MQ==,Kennesaw State University
Bernice,Nuferhalten,Bernice Nuferhalten,2.9,2.5,-1.0,23,178713,U2Nob29sLTQ4MQ==,Kennesaw State University
Scott,Keeton,Scott Keeton,3.7,3.6,-1.0,5,179644,U2Nob29sLTQ4MQ==,Kennesaw State University
Wendell,McMurrain,Wendell McMurrain,4.3,2.8,70.0,81,189518,U2Nob29sLTQ4MQ==,Kennesaw State University
Michele,Zebich-Knos,Michele Zebich-Knos,4.1,3.1,-1.0,22,190796,U2Nob29sLTQ4MQ==,Kennesaw State University
Austin,Asgill,Austin Asgill,2.4,4.0,50.0,16,201431,U2Nob29sLTQ4MQ==,Kennesaw State University
Kim,Davis,Kim Davis,3.9,3.1,-1.0,14,201439,U2Nob29sLTQ4MQ==,Kennesaw State University
Loretta,Garrett,Loretta Garrett,2.6,3.9,-1.0,25,208255,U2Nob29sLTQ4MQ==,Kennesaw State University
Belinda,Edwards,Belinda Edwards,2.2,2.9,46.6667,29,211286,U2Nob29sLTQ4MQ==,Kennesaw State University
Carl,Garrigus,Carl Garrigus,2.8,3.9,-1.0,14,212027,U2Nob29sLTQ4MQ==,Kennesaw State University
Mitch,Cole,Mitch Cole,4.6,1.5,-1.0,12,214238,U2Nob29sLTQ4MQ==,Kennesaw State University
Harry,Kaufmann,Harry Kaufmann,2.3,4.2,-1.0,6,220600,U2Nob29sLTQ4MQ==,Kennesaw State University
Elke,Leeds,Elke Leeds,3.8,3.5,-1.0,30,220797,U2Nob29sLTQ4MQ==,Kennesaw State University
Gary,Selden,Gary Selden,3.7,2.2,100.0,23,222098,U2Nob29sLTQ4MQ==,Kennesaw State University
Juliet,Elu,Juliet Elu,2.1,3.3,-1.0,7,229561,U2Nob29sLTQ4MQ==,Kennesaw State University
Keisha,Hoerrner,Keisha Hoerrner,4.0,3.6,-1.0,14,230598,U2Nob29sLTQ4MQ==,Kennesaw State University
A. Bowdoin,Van Riper,A. Bowdoin Van Riper,4.7,1.6,-1.0,10,231519,U2Nob29sLTQ4MQ==,Kennesaw State University
Jennifer,Powers,Jennifer Powers,2.9,4.1,-1.0,16,231909,U2Nob29sLTQ4MQ==,Kennesaw State University
Richard,Bennett,Richard Bennett,3.6,2.3,-1.0,18,234260,U2Nob29sLTQ4MQ==,Kennesaw State University
Andy,Kohler,Andy Kohler,3.3,3.5,100.0,67,234842,U2Nob29sLTQ4MQ==,Kennesaw State University
Daren,Wilcox,Daren Wilcox,3.6,3.7,100.0,19,243086,U2Nob29sLTQ4MQ==,Kennesaw State University
Mary Lou,Frank,Mary Lou Frank,2.5,3.2,-1.0,9,251389,U2Nob29sLTQ4MQ==,Kennesaw State University
Robert (Bob),Brown,Robert (Bob) Brown,3.5,3.6,41.6667,106,259896,U2Nob29sLTQ4MQ==,Kennesaw State University
Jonathon,Freedman,Jonathon Freedman,4.1,1.9,-1.0,18,264368,U2Nob29sLTQ4MQ==,Kennesaw State University
Mary,Zohgby,Mary Zohgby,2.3,3.0,-1.0,5,266213,U2Nob29sLTQ4MQ==,Kennesaw State University
Tim,Hedeen,Tim Hedeen,5.0,2.4,100.0,9,270947,U2Nob29sLTQ4MQ==,Kennesaw State University
Walt,Thomas,Walt Thomas,3.1,2.7,-1.0,7,272205,U2Nob29sLTQ4MQ==,Kennesaw State University
D.,Stollberg,D. Stollberg,3.7,3.5,100.0,17,272304,U2Nob29sLTQ4MQ==,Kennesaw State University
T.,Larosa,T. Larosa,2.9,4.1,-1.0,38,272305,U2Nob29sLTQ4MQ==,Kennesaw State University
M.,Whitman,M. Whitman,2.4,3.8,30.0,29,272309,U2Nob29sLTQ4MQ==,Kennesaw State University
C.,Hair,C. Hair,3.8,3.0,-1.0,33,272310,U2Nob29sLTQ4MQ==,Kennesaw State University
D.,Vogelien,D. Vogelien,4.1,3.6,85.7143,38,272319,U2Nob29sLTQ4MQ==,Kennesaw State University
Paula,Jackson,Paula Jackson,3.5,3.1,50.0,34,272320,U2Nob29sLTQ4MQ==,Kennesaw State University
R.,Paul,R. Paul,3.2,2.8,-1.0,24,272322,U2Nob29sLTQ4MQ==,Kennesaw State University
Jerald,Hendrix,Jerald Hendrix,3.6,3.0,66.6667,53,272325,U2Nob29sLTQ4MQ==,Kennesaw State University
K.,Gwaltney,K. Gwaltney,4.8,3.2,-1.0,39,272327,U2Nob29sLTQ4MQ==,Kennesaw State University
Katherine,Kinnick,Katherine Kinnick,4.1,3.1,-1.0,23,272329,U2Nob29sLTQ4MQ==,Kennesaw State University
C.,Xu,C. Xu,1.8,4.3,-1.0,12,272339,U2Nob29sLTQ4MQ==,Kennesaw State University
Len,Witt,Len Witt,3.0,3.2,-1.0,5,272836,U2Nob29sLTQ4MQ==,Kennesaw State University
Alan,Gabrielli,Alan Gabrielli,3.4,2.9,-1.0,8,273384,U2Nob29sLTQ4MQ==,Kennesaw State University
Valerie,Dibble,Valerie Dibble,4.4,2.8,100.0,30,274357,U2Nob29sLTQ4MQ==,Kennesaw State University
Mark,Stevens,Mark Stevens,4.5,2.9,-1.0,35,274561,U2Nob29sLTQ4MQ==,Kennesaw State University
Martha,Bowden,Martha Bowden,4.6,3.0,0.0,36,275255,U2Nob29sLTQ4MQ==,Kennesaw State University
Tom,Roper,Tom Roper,4.9,2.1,-1.0,12,276160,U2Nob29sLTQ4MQ==,Kennesaw State University
J,Tate,J Tate,3.9,2.3,-1.0,12,276659,U2Nob29sLTQ4MQ==,Kennesaw State University
David,Bennett,David Bennett,4.8,2.2,-1.0,12,277669,U2Nob29sLTQ4MQ==,Kennesaw State University
Chris,Welty,Chris Welty,3.9,3.6,50.0,17,277762,U2Nob29sLTQ4MQ==,Kennesaw State University
Ellen,Taber,Ellen Taber,4.3,2.1,-1.0,39,277808,U2Nob29sLTQ4MQ==,Kennesaw State University
Thomas,Doleys,Thomas Doleys,3.7,4.2,100.0,49,278789,U2Nob29sLTQ4MQ==,Kennesaw State University
Robert,Birrell,Robert Birrell,4.3,2.4,82.3529,107,279032,U2Nob29sLTQ4MQ==,Kennesaw State University
Lynn,Hammond,Lynn Hammond,0.0,0.0,-1.0,0,280772,U2Nob29sLTQ4MQ==,Kennesaw State University
Liza,Davis,Liza Davis,4.9,2.4,-1.0,11,280970,U2Nob29sLTQ4MQ==,Kennesaw State University
J,Fowler,J Fowler,4.5,4.2,-1.0,23,281402,U2Nob29sLTQ4MQ==,Kennesaw State University
Thierry,Leger,Thierry Leger,4.8,3.2,100.0,8,281475,U2Nob29sLTQ4MQ==,Kennesaw State University
C.J.,Alverson,C.J. Alverson,2.7,3.0,-1.0,44,283938,U2Nob29sLTQ4MQ==,Kennesaw State University
Susan B.,Whitlock,Susan B. Whitlock,4.1,2.1,87.5,45,288163,U2Nob29sLTQ4MQ==,Kennesaw State University
Stephen,Hagin,Stephen Hagin,3.9,3.2,-1.0,70,288650,U2Nob29sLTQ4MQ==,Kennesaw State University
Steven,Smalt,Steven Smalt,3.6,3.7,100.0,29,288656,U2Nob29sLTQ4MQ==,Kennesaw State University
Julie,Newell,Julie Newell,3.8,2.2,0.0,18,291674,U2Nob29sLTQ4MQ==,Kennesaw State University
Zipangani,Vokhiwa,Zipangani Vokhiwa,2.4,3.0,0.0,45,295823,U2Nob29sLTQ4MQ==,Kennesaw State University
Lori,Waite,Lori Waite,2.4,3.3,-1.0,26,295825,U2Nob29sLTQ4MQ==,Kennesaw State University
Margaret,Fancher,Margaret Fancher,4.6,1.8,-1.0,8,295827,U2Nob29sLTQ4MQ==,Kennesaw State University
L.,Wachniak,L. Wachniak,4.8,2.2,-1.0,6,309231,U2Nob29sLTQ4MQ==,Kennesaw State University
Joseph,Demaio,Joseph Demaio,4.5,2.5,88.8889,76,314503,U2Nob29sLTQ4MQ==,Kennesaw State University
Heather,Hermanson,Heather Hermanson,3.7,4.1,100.0,50,318903,U2Nob29sLTQ4MQ==,Kennesaw State University
C A,Robinson,C A Robinson,4.8,1.1,-1.0,9,323296,U2Nob29sLTQ4MQ==,Kennesaw State University
Douglass,Morris,Douglass Morris,1.3,3.9,0.0,24,325993,U2Nob29sLTQ4MQ==,Kennesaw State University
Steve,Edwards,Steve Edwards,3.5,3.5,57.1429,30,330712,U2Nob29sLTQ4MQ==,Kennesaw State University
Kamaro,Barrow,Kamaro Barrow,4.1,1.6,-1.0,14,331826,U2Nob29sLTQ4MQ==,Kennesaw State University
Paul,Grant,Paul Grant,1.9,3.3,-1.0,6,331833,U2Nob29sLTQ4MQ==,Kennesaw State University
Margaret,Walters,Margaret Walters,4.0,1.8,-1.0,10,332712,U2Nob29sLTQ4MQ==,Kennesaw State University
David,Brani,David Brani,2.1,3.7,-1.0,10,332848,U2Nob29sLTQ4MQ==,Kennesaw State University
Wanda,Davis,Wanda Davis,3.4,2.5,-1.0,64,333638,U2Nob29sLTQ4MQ==,Kennesaw State University
Amy,Whitney,Amy Whitney,3.9,2.5,-1.0,11,334002,U2Nob29sLTQ4MQ==,Kennesaw State University
Deborah,Bourdeau,Deborah Bourdeau,4.7,1.8,-1.0,73,334073,U2Nob29sLTQ4MQ==,Kennesaw State University
Sanjay,Mundkur,Sanjay Mundkur,2.5,4.4,-1.0,62,334556,U2Nob29sLTQ4MQ==,Kennesaw State University
Michael,Harper,Michael Harper,4.2,2.5,80.0,16,334709,U2Nob29sLTQ4MQ==,Kennesaw State University
Michele,Medved,Michele Medved,3.9,2.6,-1.0,63,335501,U2Nob29sLTQ4MQ==,Kennesaw State University
Peggy,Moser,Peggy Moser,2.6,1.7,-1.0,27,335993,U2Nob29sLTQ4MQ==,Kennesaw State University
James,House,James House,3.7,2.2,-1.0,34,336038,U2Nob29sLTQ4MQ==,Kennesaw State University
S,Stockton,S Stockton,2.1,3.7,-1.0,15,336908,U2Nob29sLTQ4MQ==,Kennesaw State University
Joan,Dominick,Joan Dominick,4.9,1.2,100.0,18,339152,U2Nob29sLTQ4MQ==,Kennesaw State University
Bari,Livingston,Bari Livingston,0.0,0.0,-1.0,0,339154,U2Nob29sLTQ4MQ==,Kennesaw State University
Sheb,True,Sheb True,4.0,2.6,100.0,5,341322,U2Nob29sLTQ4MQ==,Kennesaw State University
Jennifer,Glenndenning,Jennifer Glenndenning,3.5,2.4,-1.0,7,341894,U2Nob29sLTQ4MQ==,Kennesaw State University
Miriam,Boeri,Miriam Boeri,2.6,2.3,-1.0,24,344472,U2Nob29sLTQ4MQ==,Kennesaw State University
Bob,Myers,Bob Myers,4.4,2.5,-1.0,24,345097,U2Nob29sLTQ4MQ==,Kennesaw State University
Meighan,Dillon,Meighan Dillon,3.6,4.5,58.3333,42,356292,U2Nob29sLTQ4MQ==,Kennesaw State University
Terry,Ward,Terry Ward,4.8,2.0,-1.0,19,359535,U2Nob29sLTQ4MQ==,Kennesaw State University
Maryann,Holdzkom,Maryann Holdzkom,4.9,2.2,-1.0,6,363467,U2Nob29sLTQ4MQ==,Kennesaw State University
Dorothy,Graham,Dorothy Graham,2.4,3.8,-1.0,8,377273,U2Nob29sLTQ4MQ==,Kennesaw State University
L M,Howell,L M Howell,2.0,1.3,-1.0,9,387689,U2Nob29sLTQ4MQ==,Kennesaw State University
Lola,Hartness,Lola Hartness,3.0,3.1,-1.0,16,389221,U2Nob29sLTQ4MQ==,Kennesaw State University
William,Gissy,William Gissy,4.3,2.6,-1.0,29,389259,U2Nob29sLTQ4MQ==,Kennesaw State University
Richard,Clune,Richard Clune,4.2,2.2,-1.0,13,390428,U2Nob29sLTQ4MQ==,Kennesaw State University
Carol,Hoban,Carol Hoban,2.2,2.9,-1.0,12,391134,U2Nob29sLTQ4MQ==,Kennesaw State University
Robert,Sichel,Robert Sichel,4.3,1.8,75.0,51,394686,U2Nob29sLTQ4MQ==,Kennesaw State University
Stephen,Bell,Stephen Bell,3.3,2.3,-1.0,55,396141,U2Nob29sLTQ4MQ==,Kennesaw State University
Harriet,Tresham,Harriet Tresham,3.5,3.9,71.4286,100,396828,U2Nob29sLTQ4MQ==,Kennesaw State University
Natalie,Rose,Natalie Rose,3.4,2.8,-1.0,27,399953,U2Nob29sLTQ4MQ==,Kennesaw State University
Clausel,Theard,Clausel Theard,3.0,2.3,-1.0,19,402128,U2Nob29sLTQ4MQ==,Kennesaw State University
Verna,Hankins,Verna Hankins,3.7,3.4,-1.0,10,404795,U2Nob29sLTQ4MQ==,Kennesaw State University
Richard,Monroe,Richard Monroe,0.0,0.0,-1.0,0,406508,U2Nob29sLTQ4MQ==,Kennesaw State University
Ruth,Goldfine,Ruth Goldfine,4.4,2.2,-1.0,30,407233,U2Nob29sLTQ4MQ==,Kennesaw State University
J. A.,Riley,J. A. Riley,2.9,3.0,-1.0,25,407734,U2Nob29sLTQ4MQ==,Kennesaw State University
Alice,Terry,Alice Terry,4.3,1.8,-1.0,11,409780,U2Nob29sLTQ4MQ==,Kennesaw State University
Bernadette,Vlachos,Bernadette Vlachos,3.5,3.6,100.0,126,415876,U2Nob29sLTQ4MQ==,Kennesaw State University
Eric,Tubbs,Eric Tubbs,2.8,2.3,-1.0,3,418599,U2Nob29sLTQ4MQ==,Kennesaw State University
Jin,Wang,Jin Wang,3.2,3.0,-1.0,8,419097,U2Nob29sLTQ4MQ==,Kennesaw State University
Barbara,Hammond,Barbara Hammond,4.4,3.1,-1.0,7,425147,U2Nob29sLTQ4MQ==,Kennesaw State University
Robert,Martin,Robert Martin,4.4,2.6,100.0,47,425670,U2Nob29sLTQ4MQ==,Kennesaw State University
Juanne,Greene,Juanne Greene,4.3,2.4,100.0,22,426604,U2Nob29sLTQ4MQ==,Kennesaw State University
Rick,Bowers,Rick Bowers,4.5,2.6,-1.0,24,427370,U2Nob29sLTQ4MQ==,Kennesaw State University
Ken,Robinson,Ken Robinson,3.8,2.3,-1.0,15,427395,U2Nob29sLTQ4MQ==,Kennesaw State University
Linda,Niemann,Linda Niemann,4.2,2.5,100.0,11,430826,U2Nob29sLTQ4MQ==,Kennesaw State University
Jack,Haley,Jack Haley,2.0,3.0,-1.0,42,431727,U2Nob29sLTQ4MQ==,Kennesaw State University
Ruston,Hunt,Ruston Hunt,4.3,1.8,-1.0,5,431728,U2Nob29sLTQ4MQ==,Kennesaw State University
Greg,Conrey,Greg Conrey,4.8,3.2,-1.0,37,432541,U2Nob29sLTQ4MQ==,Kennesaw State University
Elizabeth,Parks,Elizabeth Parks,5.0,2.3,-1.0,4,432559,U2Nob29sLTQ4MQ==,Kennesaw State University
Marlene,Sims,Marlene Sims,2.8,3.5,57.1429,41,433802,U2Nob29sLTQ4MQ==,Kennesaw State University
Georgia,Naderi,Georgia Naderi,3.7,2.8,50.0,22,435770,U2Nob29sLTQ4MQ==,Kennesaw State University
Thomas,Keene,Thomas Keene,4.3,2.9,-1.0,22,436496,U2Nob29sLTQ4MQ==,Kennesaw State University
Patricia,Roth Pierce,Patricia Roth Pierce,3.1,2.7,37.5,35,437142,U2Nob29sLTQ4MQ==,Kennesaw State University
Patricia,Cardona,Patricia Cardona,3.8,2.1,-1.0,65,438997,U2Nob29sLTQ4MQ==,Kennesaw State University
Susan,Calvin- O'Connor,Susan Calvin- O'Connor,4.2,1.7,-1.0,13,439732,U2Nob29sLTQ4MQ==,Kennesaw State University
Rebecca,Rutherfoord,Rebecca Rutherfoord,4.5,1.8,100.0,13,441980,U2Nob29sLTQ4MQ==,Kennesaw State University
Gary,Roberts,Gary Roberts,3.3,2.4,-1.0,16,446098,U2Nob29sLTQ4MQ==,Kennesaw State University
Julia,Morrisey,Julia Morrisey,4.3,2.3,66.6667,31,447011,U2Nob29sLTQ4MQ==,Kennesaw State University
Richard,Mathisen,Richard Mathisen,2.6,3.1,12.5,36,447809,U2Nob29sLTQ4MQ==,Kennesaw State University
Patrick,Manigault,Patrick Manigault,3.4,2.8,-1.0,17,448473,U2Nob29sLTQ4MQ==,Kennesaw State University
Satya,Chakravorty,Satya Chakravorty,4.0,3.4,100.0,43,451048,U2Nob29sLTQ4MQ==,Kennesaw State University
Donald,Sabbarese,Donald Sabbarese,3.8,3.6,-1.0,18,451056,U2Nob29sLTQ4MQ==,Kennesaw State University
Betty,Oliver,Betty Oliver,3.3,4.0,-1.0,3,466923,U2Nob29sLTQ4MQ==,Kennesaw State University
Gregory,Rushton,Gregory Rushton,3.4,3.6,-1.0,28,481565,U2Nob29sLTQ4MQ==,Kennesaw State University
Michael,Firment,Michael Firment,3.1,3.6,-1.0,12,482480,U2Nob29sLTQ4MQ==,Kennesaw State University
Michael,Thackston,Michael Thackston,3.5,4.0,75.0,62,484056,U2Nob29sLTQ4MQ==,Kennesaw State University
G.,Simpson,G. Simpson,4.3,1.5,-1.0,120,489440,U2Nob29sLTQ4MQ==,Kennesaw State University
Natasha,Lovelace,Natasha Lovelace,3.7,3.0,-1.0,20,490002,U2Nob29sLTQ4MQ==,Kennesaw State University
James,Shope,James Shope,3.8,2.6,57.1429,20,490013,U2Nob29sLTQ4MQ==,Kennesaw State University
Shelby A.,Schlact,Shelby A. Schlact,4.8,2.8,-1.0,20,491516,U2Nob29sLTQ4MQ==,Kennesaw State University
Cherry,Collier,Cherry Collier,3.4,2.5,0.0,12,491573,U2Nob29sLTQ4MQ==,Kennesaw State University
Keith,Hopper,Keith Hopper,4.4,2.3,100.0,16,494694,U2Nob29sLTQ4MQ==,Kennesaw State University
Saunders,Jones,Saunders Jones,4.5,3.0,-1.0,35,496182,U2Nob29sLTQ4MQ==,Kennesaw State University
William,Cleary,William Cleary,3.8,3.6,75.0,38,496505,U2Nob29sLTQ4MQ==,Kennesaw State University
Ward,D L,Ward D L,0.0,0.0,-1.0,0,499194,U2Nob29sLTQ4MQ==,Kennesaw State University
Teresa,Scar,Teresa Scar,4.9,1.8,100.0,9,500110,U2Nob29sLTQ4MQ==,Kennesaw State University
Amy,Buddie,Amy Buddie,4.2,3.0,-1.0,24,500161,U2Nob29sLTQ4MQ==,Kennesaw State University
Barbara,Salyer,Barbara Salyer,4.3,1.6,-1.0,8,500492,U2Nob29sLTQ4MQ==,Kennesaw State University
Beth,Daniell,Beth Daniell,3.7,3.8,-1.0,19,501609,U2Nob29sLTQ4MQ==,Kennesaw State University
A I,Slomovitz,A I Slomovitz,4.2,2.0,50.0,49,501926,U2Nob29sLTQ4MQ==,Kennesaw State University
Theresa,Banker,Theresa Banker,2.8,3.1,-1.0,28,502825,U2Nob29sLTQ4MQ==,Kennesaw State University
.,Hocmuth,. Hocmuth,4.6,1.4,-1.0,5,502883,U2Nob29sLTQ4MQ==,Kennesaw State University
John,Lindsay,John Lindsay,3.2,3.8,-1.0,18,506558,U2Nob29sLTQ4MQ==,Kennesaw State University
Thomas,Kolenko,Thomas Kolenko,3.8,3.9,41.6667,66,513841,U2Nob29sLTQ4MQ==,Kennesaw State University
James,Doto,James Doto,3.7,3.0,100.0,22,513877,U2Nob29sLTQ4MQ==,Kennesaw State University
Ouali,Ferrani,Ouali Ferrani,4.1,2.1,50.0,20,516785,U2Nob29sLTQ4MQ==,Kennesaw State University
Beth,Stutzmann,Beth Stutzmann,4.2,2.4,0.0,106,523437,U2Nob29sLTQ4MQ==,Kennesaw State University
Daniel,Neiderjohn,Daniel Neiderjohn,4.7,2.5,100.0,33,526092,U2Nob29sLTQ4MQ==,Kennesaw State University
Mary,Bolen,Mary Bolen,2.8,1.4,-1.0,30,535118,U2Nob29sLTQ4MQ==,Kennesaw State University
Michael,Curley,Michael Curley,1.6,1.7,-1.0,9,536580,U2Nob29sLTQ4MQ==,Kennesaw State University
Dr M,Ross,Dr M Ross,4.1,1.6,-1.0,25,537204,U2Nob29sLTQ4MQ==,Kennesaw State University
Penny,Verhoeven,Penny Verhoeven,4.2,2.7,-1.0,53,545678,U2Nob29sLTQ4MQ==,Kennesaw State University
Howard,Itskowitz,Howard Itskowitz,2.2,3.9,-1.0,8,548127,U2Nob29sLTQ4MQ==,Kennesaw State University
Orlando,Karam,Orlando Karam,3.8,2.6,100.0,24,548398,U2Nob29sLTQ4MQ==,Kennesaw State University
Susan,Carley,Susan Carley,2.5,2.7,-1.0,26,548623,U2Nob29sLTQ4MQ==,Kennesaw State University
Phillip,Taylor,Phillip Taylor,4.6,1.6,-1.0,42,548625,U2Nob29sLTQ4MQ==,Kennesaw State University
Michael,Alexander,Michael Alexander,4.2,2.0,-1.0,18,548631,U2Nob29sLTQ4MQ==,Kennesaw State University
Rick,Breault,Rick Breault,2.6,2.9,-1.0,8,548636,U2Nob29sLTQ4MQ==,Kennesaw State University
Doug,Morris,Doug Morris,1.6,3.1,0.0,41,549050,U2Nob29sLTQ4MQ==,Kennesaw State University
Hassan,Pournaghsh,Hassan Pournaghsh,4.4,1.9,100.0,9,551083,U2Nob29sLTQ4MQ==,Kennesaw State University
Ralph,Norris,Ralph Norris,3.4,3.4,-1.0,52,552196,U2Nob29sLTQ4MQ==,Kennesaw State University
Michelle,Emerson,Michelle Emerson,4.0,2.4,0.0,12,552865,U2Nob29sLTQ4MQ==,Kennesaw State University
Kathleen,Gildea,Kathleen Gildea,4.1,2.8,-1.0,66,553053,U2Nob29sLTQ4MQ==,Kennesaw State University
Kenton,Fleming,Kenton Fleming,2.2,3.3,-1.0,31,553094,U2Nob29sLTQ4MQ==,Kennesaw State University
Scott,Reese,Scott Reese,3.1,4.4,0.0,36,553367,U2Nob29sLTQ4MQ==,Kennesaw State University
Anne,Fenton,Anne Fenton,0.0,0.0,-1.0,0,553544,U2Nob29sLTQ4MQ==,Kennesaw State University
Steven,Lovig,Steven Lovig,4.2,2.3,-1.0,7,555535,U2Nob29sLTQ4MQ==,Kennesaw State University
Kathy,Epps,Kathy Epps,3.6,3.5,-1.0,21,555704,U2Nob29sLTQ4MQ==,Kennesaw State University
Robert,Hagebak,Robert Hagebak,4.6,1.9,-1.0,7,556079,U2Nob29sLTQ4MQ==,Kennesaw State University
Bill,Hill,Bill Hill,4.3,2.9,-1.0,20,556317,U2Nob29sLTQ4MQ==,Kennesaw State University
J,Sweigart,J Sweigart,2.5,4.4,16.6667,12,569774,U2Nob29sLTQ4MQ==,Kennesaw State University
Marko,Horn,Marko Horn,4.6,3.0,-1.0,8,573235,U2Nob29sLTQ4MQ==,Kennesaw State University
Endora,Feick,Endora Feick,3.0,3.4,-1.0,15,584387,U2Nob29sLTQ4MQ==,Kennesaw State University
Bill,Griffiths,Bill Griffiths,3.0,4.0,-1.0,35,587768,U2Nob29sLTQ4MQ==,Kennesaw State University
Ermal,Shpuza,Ermal Shpuza,4.0,3.5,100.0,11,593831,U2Nob29sLTQ4MQ==,Kennesaw State University
Peter,Fenton,Peter Fenton,4.5,2.1,81.8182,65,594701,U2Nob29sLTQ4MQ==,Kennesaw State University
Mike,Tierce,Mike Tierce,4.4,2.3,100.0,22,598491,U2Nob29sLTQ4MQ==,Kennesaw State University
Jan,Potter,Jan Potter,3.2,2.8,-1.0,25,606099,U2Nob29sLTQ4MQ==,Kennesaw State University
Mike,Sabbagh,Mike Sabbagh,4.3,2.5,-1.0,6,606591,U2Nob29sLTQ4MQ==,Kennesaw State University
Amy,Aenchbacher,Amy Aenchbacher,4.9,1.4,100.0,55,607819,U2Nob29sLTQ4MQ==,Kennesaw State University
